SensorDate,Settlement,Main_Dmg,geometry
2023-09-10,Ait Othmane,Damage,POINT (-8.385159788999943 31.161661896000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.38500072499994 31.160926224000036)
2023-09-10,Ait Othmane,Damage,POINT (-8.385020607999934 31.160851663000074)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386960287999955 31.163848872000074)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.387498527999924 31.164418178000062)
2023-09-10,Ait Othmane,Damage,POINT (-8.38339020099994 31.163709846000074)
2023-09-10,Ait Othmane,Damage,POINT (-8.383201311999926 31.163540840000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.383566662999954 31.163630314000045)
2023-09-10,Ait Othmane,Damage,POINT (-8.38324356399994 31.163722273000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.38466786899994 31.162386953000066)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.383754325999917 31.157068347000063)
2023-09-10,Ait Othmane,Damage,POINT (-8.383031581999944 31.15703059100008)
2023-09-10,Ait Othmane,Damage,POINT (-8.383055852999917 31.15680945300005)
2023-09-10,Ait Othmane,Damage,POINT (-8.38389455999993 31.15642650700005)
2023-09-10,Ait Othmane,Damage,POINT (-8.379199420999953 31.15017261400004)
2023-09-10,Ait Othmane,Damage,POINT (-8.378312171999937 31.149393237000083)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.37923178199992 31.150331726000047)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.368150606999961 31.14745153700005)
2023-09-10,Ait Othmane,Damage,POINT (-8.335243032999927 31.162101102000065)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.336700505999943 31.160468731000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.331751231999931 31.160649765000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.33089822699992 31.16137389900007)
2023-09-10,Ait Othmane,Damage,POINT (-8.331195857999944 31.16141378800006)
2023-09-10,Ait Othmane,Damage,POINT (-8.331459737999921 31.161152977000086)
2023-09-10,Ait Othmane,Damage,POINT (-8.331155968999951 31.16130332700004)
2023-09-10,Ait Othmane,Damage,POINT (-8.331254156999933 31.16111002000008)
2023-09-10,Ait Othmane,Damage,POINT (-8.329634059999933 31.16138617200005)
2023-09-10,Ait Othmane,Damage,POINT (-8.32968008599994 31.161245028000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.329937827999913 31.161515044000055)
2023-09-10,Ait Othmane,Damage,POINT (-8.329986921999932 31.161662325000066)
2023-09-10,Ait Othmane,Damage,POINT (-8.32983657199992 31.161671530000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.329977716999906 31.161361626000087)
2023-09-10,Ait Othmane,Damage,POINT (-8.33006976799993 31.161426061000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.330192502999921 31.161426061000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.330364330999942 31.161573343000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.330195570999933 31.16205507600006)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.330315236999922 31.16223917800005)
2023-09-10,Ait Othmane,Damage,POINT (-8.329701563999947 31.161907795000047)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.329557350999949 31.161159113000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.329428479999933 31.16231281900008)
2023-09-10,Ait Othmane,Damage,POINT (-8.329287334999947 31.16220235800006)
2023-09-10,Ait Othmane,Damage,POINT (-8.329416205999905 31.162457032000077)
2023-09-10,Ait Othmane,Damage,POINT (-8.329345633999935 31.16210723800009)
2023-09-10,Ait Othmane,Damage,POINT (-8.329495983999948 31.16220542600007)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.329735315999926 31.16165618900004)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.329011181999931 31.162012119000053)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.332340358999943 31.16300933800005)
